Download Video  0  chunk ( 1  /  17 ) and path is 0  , play_video_id is  0
Download Video  1  chunk ( 1  /  26 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 1  /  37 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 2  /  26 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 3  /  26 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 4  /  26 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 5  /  26 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 2  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 3  /  37 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 6  /  26 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 7  /  26 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 4  /  37 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 8  /  26 ) and path is 1  , play_video_id is  0
Download Video  0  chunk ( 2  /  17 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 9  /  26 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 10  /  26 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 5  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 6  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 7  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 8  /  37 ) and path is 1  , play_video_id is  0
Download Video  1  chunk ( 11  /  26 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 9  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 10  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 11  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 12  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 13  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 14  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 15  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 16  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 17  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 18  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 19  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 20  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 21  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 22  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 23  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 24  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 25  /  37 ) and path is 1  , play_video_id is  0
Download Video  2  chunk ( 26  /  37 ) and path is 1  , play_video_id is  0
